CTT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filial;C Custo;Classe;Cond Normal;Desc Moeda 1;CC Bloq;Dt Ini Exist;Dt Fim Exist;CC Lucr/Perd;CC Ponte LP;Conf. Livros;CC Superior;Cod Red. CC.;Tipo Lotação;Cnt Reg Niv1;Regra Nivel2;Tp eSocial;Regra Nivel3;Nome Tomador;Item Obrigat;Cl.Vlr Obrig;Aceita Item;Aceita Cl.Vl;C.C.Var.Mon.;CC.Red. Var.;C. Sinco;Operacao;T.Insc.Tomad;CNPJ/CEI Tom;Insc eSocial;End.Tomador;Bair.Tomador;Cep Tomador;Estado;Cod.Munic.;Mun.Tomador;Cód. FPAS;Terc FPAS;% Empresa;% Terceiros;% Acid.Trab.;Fat.Acd.Prev;% RAT;Ocorrencia;Vlr.Fatura;Vlr.Retido;Rec.Fatur.;Ind.Cont.Pat;Cód CNAE;T.InsContrat;N.InsContrat;T.InsProprie;N.InsProprie;Int. Reserve;Sinc Reserve;Ativ.01 Ob.;Ativ.02 Ob.;Ativ.03 Ob.;Ativ.04 Ob.;Outr.At.Ob?;Ativ.01 Ac.;Ativ.02 Ac.;Ativ.03 Ac.;Ativ.04 Ac.;Ac.Outra At?;Grp.Aprov CP;CC Anterior
01;1;Sintetico;Receita;CBF;Nao Bloqueado;01/01/1980;  /  /    ;1;;;;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;101;Sintetico;Despesa;ASSEMBLEIA GERAL;Bloqueado;01/01/1980;  /  /    ;101;;;1;;;000002;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10101;Analitico;Despesa;ASSEMBLEIA GERAL;Bloqueado;01/01/1980;  /  /    ;10101;;;101;;;000002;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;102;Sintetico;Despesa;FILIADAS;Bloqueado;01/01/1980;  /  /    ;102;;;1;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10201;Analitico;Receita;ACRE;Bloqueado;01/01/1980;  /  /    ;10201;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10202;Analitico;Receita;ALAGOAS;Bloqueado;01/01/1980;  /  /    ;10202;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10203;Analitico;Receita;AMAPA;Bloqueado;01/01/1980;  /  /    ;10203;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10204;Analitico;Receita;AMAZONAS;Bloqueado;01/01/1980;  /  /    ;10204;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10205;Analitico;Receita;BAHIA;Bloqueado;01/01/1980;  /  /    ;10205;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10206;Analitico;Receita;CEARA;Bloqueado;01/01/1980;  /  /    ;10206;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10207;Analitico;Receita;DISTRITO FEDERAL;Bloqueado;01/01/1980;  /  /    ;10207;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10208;Analitico;Receita;ESPIRITO SANTO;Bloqueado;01/01/1980;  /  /    ;10208;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
