Codigo De Para;Descrição Conta DRE;Codigo Conta Contabil;Codigo Centro Custo
;;;
2052;1605 -|- Nike European Operations;311101001;
2053;1607 -|- Chimica Baruel Ltda;311101012;
2054;1608 -|- Mastercard;311101014;
2055;1609 -|- Gol Linhas Aéreas;311101015;
2056;1610 -|- Cia de Bebidas Das Américas - Ambev;311101102;
2057;1611 -|- Banco Itaú S/A;311101103;
2058;1612 -|- Vivo;311101104;
2059;1613 -|- Klefer Produções e Promoções;311101107;
2060;1614 -|- Samsung;311101108;
2061;1615 -|- Ef Language Learning Solutions;311101109;
2062;1616 -|- Panini;311101111;
2063;1617 -|- Agmr – Desenvol. Aplicativos Sistema Celular;311101112;
2064;1618 -|- General Motors;311101113;
2065;1619 -|- General Motors - Seleções;311101116;
2066;1620 -|- Semp Toshiba;311101118;
2067;1621 -|- Ultrafarma Saúde;311101119;
2068;1622 -|- Grupo Cimed;311101120;
2069;1623 -|- Konami Digital Entertainment;311101121;
2070;1624 -|- Universidade Brasil;311101122;
2071;1625 -|- Café Três Corações;311101123;
2072;1626 -|- RM Estatistica;311101124;
2073;1627 -|- Xiamen Kingdomnay;311101125;
2074;1628 -|- Semp Toshiba - Arbitragem;311101126;
2075;1629 -|- Fiat;311101027;
2076;1630 -|- Sky Serviços de Banda Larga;311101028;
2077;1631 -|- Itaucard;311101029;
2078;1632 -|- Empreendimentos Pague Menos;311101127;
2079;1633 -|- Lojas Riachuelo;311101128;
2080;1634 -|- BITCI Teknoloji A.S;311101129;
2081;1635 -|- Neoenergia;311101130;
2082;1636 -|- Fans Tokens;311101131;
2083;1637 -|- Garena Online;311101132;
2084;1638 -|- Kwai;311101133;
2085;1639 -|- Kavak;311101134;
2086;1640 -|- Outros Patrocinadores;311101099;
2087;1641 -|- Rappi;311101135;
2088;1643 -|- Seleção Principal;311102001;
2089;1644 -|- Seleções de Base e Feminina;311102002;
2090;1645 -|- Copa do Brasil - Masculina;311102003;
2091;1646 -|- Campeonato Brasileiro Serie B;311102004;
2092;1647 -|- Campeonato Brasileiro Serie C;311102005;
2093;1648 -|- Copa do Brasil - Feminina;311102006;
2094;1649 -|- Campeonato Brasileiro Serie D;311102007;
2095;1650 -|- Brasileiro Feminino;311102008;
2096;1651 -|- Campeonato Brasileiro Serie A;311102009;
2097;1652 -|- E-brasileirão;311102010;
2098;1653 -|- Categoria de Base;311102011;
2099;1654 -|- Super Copa do Brasil;311102012;
2100;1655 -|- Copa Verde;311102013;
2101;1656 -|- Copa Do Nordeste;311102014;
2102;1657 -|- Outras Competições;311102015;
2103;1659 -|- Partidas Nacionais;311103001;
2104;1660 -|- Partidas Internacionais;311103002;
2105;1661 -|- Super Copa do Brasil;311103003;
2106;1662 -|- Seleção Principal;311104001;
2107;1663 -|- Seleções de Base e Feminina;311104002;
2108;1664 -|- Seleção Principal (Exterior);311104003;
2109;1666 -|- Inscrições Atletas Profissionais;311105001;
2110;1667 -|- Inscrições de Clubes;311105002;
2111;1668 -|- Rescisão Contratual;311105003;
2112;1669 -|- Formação De Atleta;311105004;
2113;1670 -|- Taxa de Cadastramento de Intermediários;311105005;
2114;1671 -|- Expedição de Certidões;311105006;
2115;1672 -|- Licenças e Transferências;311106001;
2116;1674 -|- Legado;311108005;
2117;1676 -|- FIFA Foward;311108001;
2118;1677 -|- Evolución;311108003;
2119;1678 -|- Competições Continentais;311108004;
2120;1680 -|- CBF Academy;311109001;
2121;1681 -|- CBF Academy 2;311110004;
2136;1704 -|- Salários e Honorários;321101;1
2137;1705 -|- Encargos Sociais;321102;1
2138;1706 -|- Ferias e 13 Salário;321103;1
2139;1707 -|- Benefícios;321104;1
2140;1709 -|- Alugueis e Condomínio;321201;1
2141;1710 -|- Depreciações E Amortizações;321202;1
2142;1711 -|- Manutenção e Reparos;321203;1
2143;1713 -|- Utilidades E Servicos;321301;1
2144;1715 -|- Viagens e Representações;321401;1
2145;1716 -|- Material De Consumo;321402;1
2146;1717 -|- Conduções, Lanches e Refeições;321403;1
2147;1718 -|- Revistas, Assinaturas e Publicações;321404;1
2148;1719 -|- Propaganda e Publicidade;321405;1
2149;1720 -|- Subvenções;321408;1
2150;1721 -|- Outros;321409;1
2123;1851 -|- Outras Receitas e Despesas;311113001;
2124;1851 -|- Outras Receitas e Despesas;311107002;
2126;1851 -|- Outras Receitas e Despesas;311199001;
2127;1851 -|- Outras Receitas e Despesas;311201003;
2128;1851 -|- Outras Receitas e Despesas;311110001;
2129;1851 -|- Outras Receitas e Despesas;311110002;
2130;1851 -|- Outras Receitas e Despesas;311110005;
2131;1851 -|- Outras Receitas e Despesas;311110006;
2132;1851 -|- Outras Receitas e Despesas;311110007;
